text,label
"TCMB Başkanı Kavcıoğlu: Merkez Bankası'nın rezervleri artarak devam ediyor
Türkiye Cumhuriyet Merkez Bankası (TCMB) Başkanı Şahap Kavcıoğlu, Türkiye Ekonomi Modeli içerisinde üretim arttıkça Türkiye'ye döviz girişinin artacağını ve bunun Merkez Bankası'nın rezervlerini olumlu etkilediğini belirterek, ""Bir sıkıntı yok, rezervler artarak devam ediyor. Bu tabii kura da diğer fiyatlara da piyasaya da olumlu yansıyor"" dedi.",real
"Demir yollarında seferberlik: 3 kente daha YHT ile seyahat imkanı
Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu, ""Kırıkkale, Yozgat ve Sivas illerimizde yaşayan yaklaşık 1 milyon 400 bin vatandaşımız da yüksek hızlı trenle seyahat etme imkanına kavuşacak"" dedi.",real
"İletişim Başkanlığı depremle ilgili Dezenformasyon Bülteni yayımladı
İletişim Başkanlığı Dezenformasyonla Mücadele Merkezince, Kahramanmaraş merkezli depremlerle ilgili Dezenformasyon Bülteni yayımlandı.",real
"Cumhurbaşkanı Erdoğan, Paris'teki Türk vatandaşlarına telefonda seslendi
Cumhurbaşkanı Recep Tayyip Erdoğan, Fransa'nın başkenti Paris'te Türk vatandaşlarına telefonda seslenerek, Fransa'da yaşayan Türklerin, Türkiye'de yapılacak 2023 seçimlerinde önemli bir sonuca vesile olacağını belirtti.",real
"Cumhurbaşkanı Başdanışmanlığına Sadettin Hülagü atandı
Cumhurbaşkanlığı atama kararı ile Prof. Dr. Sadettin Hülagü, Cumhurbaşkanı Başdanışmanı olarak görevlendirildi.",real
"Cumhurbaşkanı Erdoğan'dan şehit ailelerine başsağlığı mesajı
Cumhurbaşkanı Erdoğan, şehit Astsubay Kıdemli Çavuş Harun Uğur ve er Halil Seltan'ın ailelerine başsağlığı diledi.",real
"Madrid Üniversitesi’nde akademisyen olduğunu iddia eden Ahcik Aratyan adlı hesap
Kendini İspanya’da görevli bir akademisyen olarak tanıtan Twitter hesabı gerçek değil. Ermeni akademisyen Ahçik Aratyan isimli bir akademisyen yok. Ahçik Ermenice “kız” anlamına geliyor.",fake
"Nobel ödüllü Profesör Tasuku Honjo’nun yeni koronavirüsün laboratuvarda üretildiğini söyledi
Sosyal medya paylaşımlarında Nobel Ödüllü Profesör Tasuku Honjo’nun, koronavirüsün Wuhan’da bir laboratuvarda üretildiğini söylediği iddia edildi.",fake
"Depremlerde can kaybı 19 bin 875 oldu
Kahramanmaraş merkezli depremlerde 19 bin 875 kişi hayatını kaybetti, 79 bin 717 kişi yaralandı. Bölgede görev yapan toplam personel sayısı 159 bin 146'ya yükseldi. 102 bin 274 Aile Yaşam Çadırı'nın kurulumu tamamlandı.",real
"Google'ın Müslümanlar için Doodle hazırlamadığı iddiası doğru değil
Türkan Saylan'ı anmak için Google'ın hazırladığı Doodle'ın ardından Yeni Akit haberinde, ""Google'ın hiçbir Müslüman için Doodle hazırlamadığı""nı iddia etti.",fake
"Video Kılıçdaroğlu'nun Çubuk'ta uğradığı saldırıdan sonra söylediklerini göstermiyor
Çubuk'taki cenaze töreni sırasındaki saldırıdan sonra Kemal Kılıçdaroğlu’nun söylediği sözleri içerdiği iddia edilen video sosyal medyada paylaşıldı.",fake
"AYM, memurun siciline yazılan ""itibar zedeleyici"" ifadeleri hak ihlali saydı
Anayasa Mahkemesi, kamu görevlisi olan bir kişinin sicil raporuna yazılan ifadeler nedeniyle yapılan başvuruyu karara bağladı. Mahkeme, kişinin maddi ve manevi varlığını koruma hakkının ihlal edildiğine karar verdi.",real
"Özdil’in 'Mustafa Kemal' kitabında yer aldığı iddia edilen 'kuru fasulye' ve 'leblebi' bölümleri
Sosyal medyada paylaşılan bir kitaptaki bölümlerin, Yılmaz Özdil’in “Mustafa Kemal” isimli kitabında yer aldığı iddia edildi.",fake
"Nutella'nın İtalya'da raflardan indiği iddiaları doğru değil
Palm yağının kanser yaptığı iddialarının ardından yayınlanan haberlerde Nutella'nın İtalya'da raflardan indiği ve yüzde 3 değer kaybettiği iddia edildi.",fake
"Videonun 2022 Dünya Kupası'nda bir kadının taciz edildiğini gösterdi
Video 2020 Avrupa Futbol Şampiyonası’nda İtalya’nın İspanya’yı yenmesinden sonra kaydedilmiş.
",fake
"A Haber'den ABD'li generalin sözlerine alt yazı montajı: DAEŞ'i biz kurduk
A Haber'de yayınlanan bir programda ABD'li general Wesley Clark'ın sözlerine eklenen alt yazıda ""DAEŞ'i biz kurduk"" ifadelerine yer verildi.",fake
"Bakan Bilgin'den EYT açıklaması: Aralık sonuna kadar Meclis'e götürürüz
Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin, emeklilikte yaşa takılanlara (EYT) yönelik düzenlemeye ilişkin ""Aralık ayının sonuna kadar çalışmayı bitirip Meclise götürürüz diye umuyorum. Çünkü çok hızlı çalışıyoruz"" dedi.",real
"Google'ın Çorum’u dünyanın merkezi olarak belirledi
Bazı haber kuruluşları tarafından yapılan haberlerde Çorum’un 2016'da Google tarafından, 'dünyanın coğrafi merkezi' olarak belirlendiği iddiası yer aldı.  ",fake
