text,label
"Video Çin’de yenmek için üretilen yapay marul ve lahanayı mı gösteriyor?
Sosyal medyada ve çeşitli haber sitelerinde paylaşılan videonun Çin’de insanların yemesi için üretilen yapay marul ve lahanayı gösterdiği iddia edildi. ",fake
"Bakan Karaismailoğlu yeni yıla metro çalışanlarıyla girdi
Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu,""Ocak ayının ortasında Kağıthane-Havalimanı metro hattımızı hizmete vereceğiz. Önümüzdeki günlerde Kayaşehir metro hattımızı bitirerek ülkemizin hizmetine sunacağız. İnşallah şubat ayı başlarında bu metromuzu açarak İstanbulluların hizmetine sunacağız"" dedi.",real
"İçişleri Bakanlığı, 18 yaş üstü kadınlara KADES indirme linki gönderdi
İçişleri Bakanlığı, 18 yaş üstü kadınlara Kadın Destek Uygulaması'nı (KADES) indirebilmeleri için link iletti.",real
"Cumhurbaşkanı Erdoğan Arnavutluk Başbakanı Rama'yı kabul etti
Cumhurbaşkanı Recep Tayyip Erdoğan, Arnavutluk Başbakanı Edi Rama'yı kabul etti.",real
"Bakan Nebati: EYT maliyetini hesapladık, bütçemizi ona göre ayarladık
Hazine ve Maliye Bakanı Nureddin Nebati, enflasyonun kademeli olarak düşürülmesi gerektiğini söyledi, marketlere indirim çağrısı yaptı. Bakan Nebati, EYT konusunda da “Maliyetini hesapladık, kasayı çok güçlü tuttuk” açıklamasında bulundu.",real
"Bakan Kurum: Depremden etkilenen illerimizde yerleşim alanlarına ilişkin yerler belirlendi
Çevre, Şehircilik ve İklim Değişikliği Bakanı Kurum, ""Bugün itibarıyla hemen hemen her ilimizde, depremden etkilenen illerimizde yerleşim alanlarına ilişkin yerler belirlendi."" dedi.",real
"Bakan Karaismailoğlu'ndan İyi Parti'li Türkkan'a 250 bin liralık tazminat davası
Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu, İyi Parti Kocaeli Milletvekili Lütfü Türkkan'ın, kendisi hakkındaki sosyal medya paylaşımları nedeniyle 250 bin liralık manevi tazminat davası açtı.",real
"Kahramanmaraş'ta 43, Adıyaman'da 16 bölgede kurulan çadırlara enerji verildi
Kahramanmaraş ve Adıyaman'da elektrik dağıtım hizmeti veren AKEDAŞ Elektrik Dağıtım AŞ, AFAD tarafından Kahramanmaraş'ta 43, Adıyaman'da 16 bölgede kurulan çadırların tamamına enerji verildiğini açıkladı.",real
"Trabzonspor'un stadyumunda Fenerbahçe marşı çalındı
teyit.org’a ihbar olarak gelen ve sosyal medyada paylaşılan bir videoda, Trabzonspor’un sahasında Fenerbahçe marşı çalındığı iddia edildi.",fake
"Atatürk fotoğrafı baskılı tuvalet kağıtlarına izin çıktı
Halk Arena isimli haber sitesindeki haberde, Rizeli iş adamı Hakan Tüzel’in tuvalet kağıdına Atatürk’ün fotoğrafının basım izninin çıktığı iddia edildi.",fake
"""Türkiye Ulus Markalama Forumu"" panellerle devam ediyor
İletişim Başkanlığı'nın düzenlediği Türkiye Ulus Markalama Forumu İstanbul'da yapıldı. Forumun ikinci gününde alanında uzman isimler birbirinden çarpıcı başlıklarda Türkiye'nin markalama stratejilerini ele aldı.",real
"Danimarka'da arazilerin yüzde 5’ine arılar için çiçekli bitki ekmenin zorunlu oldu
Danimarka’da arazilerin yüzde 5'i arılar için ayrılmak zorunda değil. Ancak Avrupa Komisyonu, aynı oranı biyoçeşitliliğe ayıranlara teşvik veriyor.",fake
